id,sector,category,brand,product_or_line,common_use,made_in_canada_claim,manufacturing_location,ownership_note,origin_caveat,tariff_relevance,candidate_hs_heading,evidence_quote,official_source_url,secondary_source_url,verification_date,confidence
343,"Pantry, bakery, snacks, beverages, frozen and canned foods",Spirits,Black Fox Farm & Distillery,Black Fox Gin and Oaked Gin,"Craft gin, whisky and liqueurs distilled from farm-grown grain and fruit.","States every bottle under the Black Fox name is fermented and distilled at its own distillery outside Saskatoon, Saskatchewan.","Saskatoon, Saskatchewan",Owned by farmers Barb Stefanyshyn-Coté and John Coté,Botanicals and fruit are grown on the farm; no imported-ingredient caveat stated.,"Replaces U.S.-origin gin, whisky and liqueurs (heading 22.08).",22.08,"Every bottle sold under the Black Fox name has been fermented and distilled by us, for you, at our distillery.",https://www.blackfoxfarmanddistillery.com/our-story/,https://www.blackfoxfarmanddistillery.com/,2026-08-30,High
344,"Pantry, bakery, snacks, beverages, frozen and canned foods",Coffee,Muskoka Roastery Coffee Co.,Muskoka Roastery Cottage Blend,Roasted whole bean and ground coffee for home and office brewing.,"States its coffee is roasted, packed and distributed in Canada and is 'Proudly Made in Canada'.","Huntsville, Ontario (roasting stated as in Canada)",Fully Canadian-owned and operated business,Green coffee beans are imported (Rainforest Alliance certified) and roasted in Canada.,Replaces U.S.-roasted coffee (heading 09.01).,09.01,"It's not just that our coffee is roasted, packed, and distributed right here in Canada-it's that every blend is crafted with Canadians in mind.",https://www.muskokaroastery.com/blogs/news/unmistakably-canadian,https://www.muskokaroastery.com/,2026-08-30,High
345,"Beer, wine and spirits",Craft beer,Phillips Brewing & Malting Co.,Phillips Blue Buck Ale,"Craft ales, lagers and sodas brewed on Vancouver Island.",States it operates its own malting plant and is one of the only craft brewers in Canada to malt its own barley.,"Victoria, British Columbia","Independent, founder-owned craft brewery",None stated on fetched official page,Replaces U.S.-origin beer made from malt (heading 22.03).,22.03,We launched our malting plant in 2015 and are one of the only craft brewers in Canada to malt our own barley.,https://www.phillipsbeer.com/,https://www.phillipsbeer.com/contact,2026-08-30,Medium
346,"Beer, wine and spirits",Craft beer,Muskoka Brewery,Muskoka Cream Ale,Craft cream ale and lagers sold across Ontario.,States its flagship Cream Ale was first brewed in 1996 and has become a signature beer of the Muskoka region of Ontario.,"Bracebridge, Ontario",Independent Ontario craft brewery,None stated on fetched official page,Replaces U.S.-origin beer made from malt (heading 22.03).,22.03,"First brewed in 1996, our flagship Muskoka Cream Ale has become a signature beer of the Muskoka region.",https://muskokabrewery.com/,https://muskokabrewery.com/pages/visit-us,2026-08-30,Medium
347,"Pantry, bakery, snacks, beverages, frozen and canned foods",Bread,Stonemill Bakehouse,Stonemill sprouted and sourdough breads,Packaged artisan-style breads for sandwiches and toast.,"States its family baking tradition began in Europe and was perfected in Canada, where it bakes its breads.",Canada (location not stated),Family-owned Canadian bakery,None stated on fetched official page,Replaces U.S.-origin bread and bakery products (heading 19.05).,19.05,"We're following the same 100-year-old family baking tradition along with time-honoured craftsmanship that began in Europe with our founder, and was perfected in Canada",https://stonemillbakehouse.com/our-craft,https://stonemillbakehouse.com/,2026-08-30,Medium
348,"Pantry, bakery, snacks, beverages, frozen and canned foods",Biscuits and crackers,Purity Factories,Purity Hard Bread and Jam Jams,"Newfoundland hard bread, biscuits and candy for traditional recipes and snacking.","States its products are made by the people at its Newfoundland factory, in operation since 1924.","St. John's, Newfoundland and Labrador",Newfoundland-based manufacturer,"Flour, sugar and cocoa inputs are commodities; no ingredient-origin caveat stated.",Replaces U.S.-origin sweet biscuits and crackers (heading 19.05).,19.05,"we couldn't exist without the fine folks at the factory who make our products, or the ones who have invited us into their homes since 1924!",https://purity.nf.ca/,https://purity.nf.ca/crackers-biscuits/,2026-08-30,Medium
349,"Clothing, footwear and textiles",Work and winter rubber boots,Acton (Chaussures Régence),Acton rubber overshoes and work boots,"Rubber and insulated boots for outdoor work, farm and winter use.","Acton's official brand page states the boots were made in the municipality of Acton Vale, Quebec, and that Acton is now a registered trademark of Chaussures Regence Inc.","Acton Vale, Quebec",Registered trademark of Chaussures Regence Inc. (Quebec),Page describes historic Acton Vale production; current plant location for each model is not itemized.,Replaces U.S.-origin rubber and protective footwear (heading 64.01).,64.01,"At that time, Acton boots were made in the municipality of Acton Vale, where their name comes from.",https://actoncanada.ca/en/pages/marque,https://actoncanada.ca/en/pages/a-propos-acton,2026-08-30,Medium
350,"Clothing, footwear and textiles",Safety work boots,Royer,Royer XPAN safety boots (Made in Canada collection),"CSA-approved safety footwear for construction, mining and industrial work.","Royer's Made in Canada page states its Canadian products are cut, sewn, fit and soled in-house, and its About page lists Quebec plants at Lac-Drolet, Sherbrooke and Magog with 'Products made in canada'.","Lac-Drolet, Sherbrooke and Magog, Quebec",ownership not verified,Royer's About page distinguishes plants where products are 'made in canada' from a plant where products are 'assembled in Canada'.,Replaces U.S.-origin leather safety and work footwear (heading 64.03).,64.03,"Our Canadian products are cut, sewn, fit and soled by passionate people with an attention for detail.",https://royer.com/pages/made-in-canada,https://royer.com/pages/about-us,2026-08-30,High
351,"Clothing, footwear and textiles",Down parkas,Moose Knuckles Canada,Core parka and bomber collection,Heavy insulated winter parkas and bombers for cold-weather city wear.,"The brand's Craftsmanship page states its core parkas, bombers and other jackets are made in Canada with Canadian and imported components.",Canada (location not stated); page references furriers in Toronto and a design team in Montreal,ownership not verified,Page explicitly states products are made in Canada 'with Canadian and imported components'.,Replaces U.S.-origin men's and boys' anoraks and parkas (heading 62.01).,62.01,"Our core parkas, bombers and other jackets are made in Canada with Canadian and imported components.",https://www.mooseknucklescanada.com/pages/craftsmanship,,2026-08-30,High
352,"Clothing, footwear and textiles",Animal-free parkas,Wuxly Movement,Wuxly Woolly Mammoth parka,Vegan (animal-free) insulated winter parkas.,Wuxly's Our Story page states its parkas are 'ethically manufactured in Canada' and that the company champions 'made in Canadian craftsmanship'.,Canada (location not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin women's and men's anoraks and parkas (heading 62.01).,62.01,"Animal-free, made with recycled materials, and ethically manufactured in Canada",https://wuxly.com/pages/our-story,,2026-08-30,High
353,"Clothing, footwear and textiles",Hats,Tilley,Tilley Made in Canada Collection (T3 Classic hat),Broad-brimmed sun and travel hats.,"Tilley's Made in Canada page states its Made in Canada hats are cut, sewn and built in Toronto, Canada.","Toronto, Ontario",ownership not verified,Only the 'Made in Canada Collection' is described as Canadian-built; other Tilley lines are not covered by the claim.,Replaces U.S.-origin hats and other headgear (heading 65.05).,65.05,"At Tilley, our Made in Canada hats are cut, sewn, and built in Toronto, Canada.",https://ca.tilley.com/pages/made-in-canada,https://ca.tilley.com/collections/made-in-canada,2026-08-30,High
354,"Clothing, footwear and textiles",Wool shirts and outerwear,ANIAN,Wild Rose Melton Wool Shirt,"Recycled-wool overshirts, jackets and blankets for everyday and outdoor wear.","ANIAN states all of its garments are made in Vancouver, and its home page carries a 'MADE IN CANADA' claim.","Vancouver, British Columbia",ownership not verified,None stated on fetched official page,Replaces U.S.-origin men's woven wool shirts and jackets (heading 62.05).,62.05,"And as all of our ANIAN garments are made in Vancouver, it's gratifying to have them sold so close to where they're carefully cut and sewn.",https://anianmfg.com/blogs/knowledge/hello-vancouver,https://anianmfg.com/,2026-08-30,High
355,"Clothing, footwear and textiles",T-shirts and sweatshirts,Redwood Classics Apparel,Redwood Classics crewneck sweatshirts and hoodies,"Blank and custom knit basics: tees, hoodies, sweatshirts and sweatpants.","Redwood Classics states all of its t-shirts, hoodies, sweatshirts and sweatpants are made in Canada.","Canada (location not stated); company is based in Toronto, Ontario",Family-owned Canadian apparel manufacturer (parent not stated on page),None stated on fetched official page,Replaces U.S.-origin knitted sweatshirts and pullovers (heading 61.10).,61.10,"That's why we are proud that all of our t-shirts, hoodies, sweatshirts, sweatpants, face masks, and more are all made right here in Canada.",https://redwoodclassics.net/pages/meet-the-makers,https://redwoodclassics.net/,2026-08-30,High
356,"Clothing, footwear and textiles",Wool blankets,MacAusland's Woollen Mills,The MacAusland Blanket,Heavyweight pure-wool bed blankets and throws.,MacAusland's states the MacAusland Blanket is handcrafted and made on P.E.I. from raw wool produced throughout the Atlantic region.,Prince Edward Island,Family owned and operated (no parent company stated),Wool is sourced from the Atlantic region rather than a single farm; no import caveat stated.,Replaces U.S.-origin wool blankets and travelling rugs (heading 63.01).,63.01,"The MacAusland Blanket is a truly authentic handcrafted gift item of Atlantic Canada, made on P.E.I. from raw wool produced throughout the Atlantic region.",https://www.macauslandswoollenmills.com/blanket.php,,2026-08-30,High
357,"Clothing, footwear and textiles",Swimwear,Nettle's Tale,Nettle's Tale swimwear (The Coco),Size-inclusive women's swimsuits and separates.,Nettle's Tale's Manufacturing page states over 90% of its products are still made in Canada at its Vancouver facility.,"Vancouver, British Columbia",Women-owned and led (no parent company stated),"Company states it has added two non-Canadian manufacturers, one in Taiwan and one in the USA.",Replaces U.S.-origin knitted women's swimwear (heading 61.12).,61.12,"Over 90% of our products are still made in Canada, but we're excited to be adding two new global manufacturers to our team: one in Taiwan and one in the USA.",https://nettlestale.com/pages/manufacturing,,2026-08-30,High
358,"Clothing, footwear and textiles",Toques and mitts,Kombi,Kombi Canadian-made toques,"Knit toques, gloves and mitts for winter.",Kombi states that since 2017 it has manufactured selected toques in Canada.,Canada (location not stated),ownership not verified,Only 'selected toques' are stated to be manufactured in Canada; gloves and mitts are described as designed in Canada.,Replaces U.S.-origin knitted headgear such as toques (heading 65.05).,65.05,"And we're proud that, since 2017, we have manufactured selected toques right here in Canada.",https://www.kombicanada.com/pages/designed-in-canada,,2026-08-30,High
359,"Clothing, footwear and textiles",Carpet and textile flooring,Venture Carpets,"Venture commercial carpet planks and broadloom (Align, Silence)","Tufted commercial carpet planks and broadloom for offices, schools and institutions.",Venture Carpets' official site is titled and branded 'Carpets 100% Made in Canada' and describes the company as a carpet manufacturer in Canada.,Canada (location not stated); company is based in Ontario,ownership not verified,None stated on fetched official page,Replaces U.S.-origin tufted carpets and textile floor coverings (heading 57.03).,57.03,Venture Carpets | Carpets 100% Made in Canada,https://www.venturecarpets.com/en/,https://www.venturecarpets.com/en/products/,2026-08-30,High
360,"Clothing, footwear and textiles",Outdoor and winter sportswear,Chlorophylle,Chlorophylle Made in Canada collection,Insulated jackets and outdoor apparel for hiking and winter sports.,"Chlorophylle states the garments in this collection are meticulously designed and manufactured in Quebec, Canada.",Quebec (city not stated; company is based in Chicoutimi/Saguenay),ownership not verified,Only the items in the 'Made in Canada' collection carry the Quebec-manufacture claim.,"Replaces U.S.-origin anoraks, windbreakers and similar outerwear (heading 62.01).",62.01,"they are meticulously designed and manufactured in Quebec, Canada, to meet the demands of your exploration while celebrating local craftsmanship",https://chlorophylle.com/shop/categories/features/made-in-canada,https://chlorophylle.com/en/chlorophylle-products-quebec,2026-08-30,High
361,"Clothing, footwear and textiles",Wool socks,J.B. Field's (The Great Canadian Sox Co),J.B. Field's 30 Below and Hiker GX merino socks,Merino wool thermal and hiking socks for extreme cold.,"J.B. Field's official site states 'Proudly Made In Canada' and '100% Made in Canada', and that the company continues to manufacture in Toronto, Canada.","Toronto, Ontario","Flagship brand of The Great Canadian Sox Co, established 1934, Canadian owned and operated",None stated on fetched official page,Replaces U.S.-origin knitted socks and hosiery (heading 61.15).,61.15,"With the goal to make the world's most extreme cold weather socks we continue manufacture in Toronto, Canada.",https://www.jbfields.ca/,https://greatsox.com/pages/made-in-canada,2026-08-30,High
362,"Clothing, footwear and textiles",Denim,Yoga Jeans (Second Denim Co.),Yoga Jeans Chloe and Lily fits,Stretch denim jeans for women.,"Yoga Jeans' Our Story page carries a 'MADE IN CANADA' statement and says the company owns and operates its 52,000 sq ft manufacturing facility in St-Come Liniere, Quebec.","Saint-Come-Liniere, Quebec",Brand of Second Denim Co.; factory owned and operated by the company,"Company states it sources 'the finest materials available across the world', so fabrics may be imported.",Replaces U.S.-origin women's denim trousers (heading 62.04).,62.04,"Owned and operated in since 2011, we purchased our 52,000 square foot manufacturing facility in St-Come Liniere, QC, Canada.",https://yogajeans.ca/pages/our-story,https://yogajeans.ca/,2026-08-30,High
363,"Clothing, footwear and textiles",Loungewear and knit basics,Free Label,Free Label loungewear and activewear basics,"Everyday knit loungewear, leggings and tops.","Free Label states every garment is cut and sewn in Canada, produced locally in Toronto and Vancouver, with labels and tags also made in Canada.","Toronto, Ontario and Vancouver, British Columbia","Independent, family-run business founded 2015 by Jess Sternberg (no parent company)",Many fabrics are custom milled in Toronto; the page does not rule out some imported fabric.,Replaces U.S.-origin knitted women's tops and loungewear (heading 61.09).,61.09,Every Free Label garment is cut and sewn in Canada.,https://freelabel.com/pages/about-free-label,,2026-08-30,High
364,"Clothing, footwear and textiles",Knitwear and everyday clothing,atelier b,atelier b unisex knit cardigan (no2452u),"Minimalist natural-fibre clothing and knitwear for men, women and children.",atelier b's vision page states its collections are 'gently made in Montreal from natural fiber textiles'.,"Montreal, Quebec",Founded and owned by Anne-Marie Laflamme and Catherine Metivier (no parent company stated),None stated on fetched official page,"Replaces U.S.-origin knitted jerseys, pullovers and cardigans (heading 61.10).",61.10,"Their sustainable and minimalist clothing collections for men, women and children are gently made in Montreal from natural fiber textiles.",https://atelier-b.ca/en/pages/notre-vision,https://atelier-b.ca/en,2026-08-30,High
365,"Clothing, footwear and textiles",Organic cotton basics,Message Factory / Oom Ethikwear,Oom Ethikwear organic cotton tops and dresses,"Organic-cotton and eco-fibre everyday tops, dresses and basics.","Message Factory states all Message Factory and Oom Ethikwear garments are designed, cut and sewn by responsible manufacturing partners located in Quebec.",Quebec (city not stated; company is based in Saint-Jean-sur-Richelieu),ownership not verified,Company states that if it cannot make an item locally it will not create it; fibre sourcing is not detailed.,Replaces U.S.-origin knitted t-shirts and singlets (heading 61.09).,61.09,"Tous les vetements Message Factory et Oom Ethikwear sont concus, coupes et confectionnes par des partenaires de fabrication responsables qui sont situes au Quebec.",https://messagefcty.com/pages/fabrication-locale,https://messagefcty.com/en/pages/mission,2026-08-30,High
366,"Clothing, footwear and textiles",Cotton and wool socks,Purple Moose Sock Company,Actually Made in Canada sock collection (Algonquin ankle socks),Everyday patterned cotton and wool-blend socks.,"Purple Moose states its 'Actually Made in Canada' collection is manufactured in small batches in Ontario, Canada on vintage knitting machines.","Ontario (city not stated; company is based in London, Ontario)",ownership not verified,"Only the 'Actually Made in Canada', 'Single Word Socks' and 'The Sockologist is IN!' lines are stated to be knit in Canada; the shop also resells imported brands.",Replaces U.S.-origin knitted socks and hosiery (heading 61.15).,61.15,"Our Actually Made in Canada sock collection is manufactured in small batches in Ontario, Canada on vintage production knitting machines from the mid 1900s",https://purplemoosesocks.ca/Actually-Made-in-Canada-by-Purple-Moose-c35964058,https://supportontariomade.ca/manufacturer/london/purple-moose-sock-company-1,2026-08-30,High
367,"Clothing, footwear and textiles",Wool sweaters,Northern Watters Knitwear,VC1 Shawl Collar Button Cardigan,Heavyweight knit wool sweaters and cardigans.,"The company's About page states it knits on antique Swiss knitting looms in its own shop, and CBC reports workers knitting the sweaters by hand-operated loom in downtown Charlottetown.","Charlottetown, Prince Edward Island",Co-owned by Bill Watters (no parent company stated),"Company states its sweaters use 100% British wool yarn, so the fibre is imported.",Replaces U.S.-origin knitted wool sweaters and cardigans (heading 61.10).,61.10,"At Northern Watters Knitwear, we use antique Swiss Knitting looms which allow us to produce a woolen product of exceptional craftsmanship.",https://nwknitwear.com/pages/about-us,https://www.cbc.ca/news/canada/prince-edward-island/pei-northern-watters-northern-knitwear-sweaters-wool-hand-operated-looms-1.4653042,2026-08-30,Medium
368,"Clothing, footwear and textiles",Screen-printed apparel and accessories,Smoking Lily,Smoking Lily zero waste underlovelies,"Small-batch printed clothing, underwear and accessories.","Smoking Lily states it is located in Victoria, BC and that its creations are designed, sewn and silk-screened in-house.","Victoria, British Columbia",ownership not verified,Page does not state an explicit 'made in Canada' claim or where fabrics originate.,Replaces U.S.-origin knitted women's underwear and light apparel (heading 61.08).,61.08,"Smoking Lily is located in beautiful Victoria, BC",https://www.smokinglily.com/pages/about-us,,2026-08-30,Medium
369,"Clothing, footwear and textiles",Winter coats,Kanuk,Kanuk winter coat collection (Rachel Street workshop),Technical insulated winter coats built for Canadian winters.,"Kanuk's About page states the outerwear collection is designed in its Montreal workshop, where its craftspeople have worked for 50 years at 485 Rachel Street.","Montreal, Quebec",ownership not verified,Official pages describe design and the Montreal workshop but do not include an explicit 'made in Canada' sentence.,Replaces U.S.-origin women's and men's anoraks and parkas (heading 62.02).,62.02,"At Kanuk, we design our outerwear collection in our workshop located in Montreal, Canada.",https://kanuk.com/en/pages/about-us,https://kanuk.com/en/pages/faq,2026-08-30,Medium
370,"Clothing, footwear and textiles",Felt cowboy hats,Smithbilt Hats,Calgary White Hat,"Handcrafted felt western hats, including the Calgary white hat.",Smithbilt's site states its iconic hats such as the Calgary White Hat are handcrafted and have embodied the spirit of the Canadian West for over 100 years; Global News filmed the hats being made at the company's Calgary facility.,"Calgary, Alberta",Owned and operated by Cam Clark,Official pages do not carry an explicit 'made in Canada' sentence.,Replaces U.S.-origin felt hats and headgear (heading 65.03).,65.03,"Renowned for our handcrafted, iconic hats like the Calgary White Hat, we blend superior craftsmanship with timeless style.",https://smithbilthats.com/,https://globalnews.ca/news/9813670/behind-the-scenes-smithbilt-hats/,2026-08-30,Medium
371,"Clothing, footwear and textiles",Gloves and mitts,Auclair,Auclair city and ski gloves (Kiva Fingermitts),"Leather and technical gloves and mitts for winter, ski and snowmobile use.","Auclair's About page states the company established its glove factory in Loretteville, Quebec and continued to produce one-third of its gloves there after being acquired.","Loretteville (Quebec City), Quebec",Owned by Sweden's New Wave Group since 2011; previously acquired by Montreal-based Paris Glove,"Only about one-third of production is stated to remain in Loretteville, implying the remainder is made elsewhere.",Replaces U.S.-origin gloves and mittens (heading 62.16).,62.16,"Despite the acquisition, Auclair retained its iconic name and continued to produce one-third of its gloves in Loretteville.",https://auclair.com/pages/about-auclair,https://auclair.com/,2026-08-30,Medium
372,"Clothing, footwear and textiles",Hunting apparel,Sportchief,Ripper camouflage hunting outfit,"Camouflage hunting jackets, pants and outerwear.","Sportchief's official blog states the Ripper camouflage line is 'made by Quebecers for Quebecers', contrasting it with camouflage created and made in the United States or Europe.",Quebec (city not stated),ownership not verified,Page contrasts the line with camouflage made in the U.S. and Europe but does not give an explicit Canadian manufacturing address.,Replaces U.S.-origin men's woven outerwear and hunting jackets (heading 62.01).,62.01,"The ""Ripper"" is made by Quebecers for Quebecers.",https://sportchief.com/en/blogs/blog/camouflage-ripper-made-by-quebecers-for-quebecers-sportchief,https://sportchief.com/en,2026-08-30,Medium
373,"Clothing, footwear and textiles",Wool blankets and yarn,Topsy Farms,Topsy Farms checkerboard wool blankets,Pure wool bed blankets and throws from a Canadian sheep farm.,"Topsy Farms' official product page states its wool blankets are woven out of Canadian unbleached wool, and its About page describes the farm's 100% Canadian wool blankets, yarn and sheepskins.","Amherst Island, Ontario (farm); weaving mill not named",ownership not verified,"Page does not state where the weaving is done, only that the wool is Canadian.",Replaces U.S.-origin wool blankets and travelling rugs (heading 63.01).,63.01,"Topsy wool blankets are woven out of Canadian unbleached wool, washed only in natural soap.",https://www.topsyfarms.com/products/forest-green-and-light-grey-wool-blanket,https://www.topsyfarms.com/pages/about-topsy-farms,2026-08-30,Medium
374,"Furniture, mattresses and home furnishings",Leather upholstery,Jaymar,Jaymar leather sofas and motion seating,"Leather sofas, sectionals and reclining seating for living rooms.","Jaymar's manufacturing page is headed 'DESIGNED AND MANUFACTURED IN CANADA' and states it operates a manufacturing plant and showroom in Terrebonne, Quebec.","Terrebonne, Quebec",ownership not verified,Company states leathers are imported from Italian tanneries and headrest mechanisms are imported from Germany.,Replaces U.S.-origin upholstered seats (heading 94.01).,94.01,DESIGNED AND MANUFACTURED IN CANADA,https://www.jaymar.co/en-ca/fabrication-en/,https://www.jaymar.co/en-us/about/,2026-08-30,High
375,"Furniture, mattresses and home furnishings",Sofas and upholstery,Montauk Sofa,Montauk custom slipcovered sofas,Custom hand-built upholstered sofas and sectionals.,Montauk's sustainability page states all upholstered products are handmade at their Montreal factory.,"Montreal, Quebec",ownership not verified,None stated on fetched official page,Replaces U.S.-origin upholstered seats (heading 94.01).,94.01,All upholstered products are handmade at their Montreal factory.,https://montauksofa.com/sustainability/,https://montauksofa.com/,2026-08-30,High
376,"Furniture, mattresses and home furnishings",Solid wood dining and bedroom furniture,Verbois,Verbois solid wood dining tables and bedroom collections,"Solid-wood dining tables, beds and case goods.",Verbois states all of its furniture is designed and manufactured at its factory in Riviere-du-Loup.,"Riviere-du-Loup, Quebec",ownership not verified,None stated on fetched official page,Replaces U.S.-origin wooden dining and bedroom furniture (heading 94.03).,94.03,"All our furniture is designed and manufactured at our factory in Riviere-du-Loup, with local pride and great respect for the material.",https://verbois.com/en/faq-2/,https://verbois.com/en/home/,2026-08-30,High
377,"Furniture, mattresses and home furnishings",Bedroom and dining furniture,Huppe,Huppe bedroom and dining collections,"Contemporary bedroom, dining and storage furniture.",Huppe's FAQ states its furniture is handcrafted in its factories located in Quebec.,Quebec (city not stated),ownership not verified,None stated on fetched official page,Replaces U.S.-origin wooden bedroom and dining furniture (heading 94.03).,94.03,Our furniture is handcrafted in our factories located in Quebec.,https://huppe.net/en/faq/,https://huppe.net/en/,2026-08-30,High
378,"Furniture, mattresses and home furnishings",Upholstered sofas and chairs,Barrymore Furniture,Barrymore Modernaire and Starlight collections,Custom-built upholstered sofas and chairs.,"Barrymore's history page states its intention is to carry on the Barrymore tradition of fine quality Canadian built furniture, and describes its move to Toronto's Design District.","Toronto, Ontario",Designs and intellectual property purchased in January 2020 by Creative Custom Furnishings after receivership,Official page says 'Canadian built' but does not give an explicit 'made in Canada' manufacturing statement.,Replaces U.S.-origin upholstered seats (heading 94.01).,94.01,Our intention is to carry on the Barrymore tradition of fine quality Canadian built furniture into the next generation.,https://www.barrymorefurniture.com/about/our-history,https://www.barrymorefurniture.com/sofas-chairs,2026-08-30,Medium
379,"Furniture, mattresses and home furnishings",Window shades and blinds,Sun Glow Window Covering Products of Canada,"Sun Glow roller, zebra and cellular shades","Custom-made roller, zebra, cellular and skylight window shades.","Sun Glow states it is a Canadian manufacturer of custom window shades, made to order in Toronto since 1983, at its facility on Hollinger Road.","Toronto, Ontario (50 Hollinger Road)",ownership not verified,None stated on fetched official page,Replaces U.S.-origin interior textile blinds and shades (heading 63.03).,63.03,"Sun Glow Window Covering Products of Canada Ltd. is a Canadian manufacturer of custom window shades, made to order in Toronto since 1983.",https://mysunglow.com/about-us/story/,https://mysunglow.com/about-us/,2026-08-30,High
380,"Furniture, mattresses and home furnishings",Outdoor benches and site furnishings,Wishbone Site Furnishings,Bayview bench and recycled-plastic site furnishings,"Outdoor benches, tables and waste receptacles for parks and public spaces.","Wishbone's manufacturing page states all of its products are fabricated and powder coated at its sister company Wellington Foundry in Parksville, BC.","Parksville, British Columbia",Products fabricated at sister company Wellington Foundry,None stated on fetched official page,Replaces U.S.-origin outdoor metal and plastic furniture (heading 94.03).,94.03,"It is here, at our sister company Wellington Foundry, that all our products are fabricated, and powder coated.",https://wishboneltd.com/about-wishbone-site-furnishings/manufacturing,https://www.wishboneltd.com/,2026-08-30,High
381,"Furniture, mattresses and home furnishings",Mattresses,Logan & Cove (GoodMorning.com),"Logan & Cove luxury hybrid mattress collection (Pinnacle, Choice)",Pocket-coil hybrid mattresses sold direct to consumers online.,"The Logan & Cove official site carries a 'MADE IN CANADA' claim for its luxury hybrid mattress collection, and parent GoodMorning.com maintains a 'Made in Canada' page for its mattress brands.",Canada (location not stated),"Brand of GoodMorning.com Inc. (also owns Douglas, Juno and Octave)",None stated on fetched official page,Replaces U.S.-origin mattresses (heading 94.04).,94.04,MADE IN CANADA,https://www.loganandcove.ca/en/main/,https://www.goodmorning.com/en/made-in-canada/,2026-08-30,High
382,"Furniture, mattresses and home furnishings",Mattresses and foundations,Restwell Sleep Products,Restwell pocket coil mattresses and foundations,"Pocket-coil and foam mattresses, foundations and pillows.","Restwell's manufacturing page states 'Proudly Made in Canada' and locates its production in Surrey, BC in the Greater Vancouver area.","Surrey, British Columbia",ownership not verified,Company contrasts itself with competitors who manufacture outside Canada; component origins are not detailed.,Replaces U.S.-origin mattresses and mattress supports (heading 94.04).,94.04,Proudly Made in Canada,https://www.restwell.com/manufacturing-process/,https://www.restwell.com/,2026-08-30,High
383,"Furniture, mattresses and home furnishings",Kitchen cabinetry,Elmwood Fine Custom Cabinetry,Elmwood custom kitchen cabinetry,Custom kitchen and bath cabinetry for homes.,"Elmwood's official site states its cabinetry is 'Proudly handcrafted in St. Catharines, Canada'.","St. Catharines, Ontario",Acquired by Groupe Cabico (Cabico) per industry reporting,None stated on fetched official page,Replaces U.S.-origin wooden kitchen cabinets (heading 94.03).,94.03,"Proudly handcrafted in St. Catharines, Canada",https://elmwoodcabinets.com/,https://www.woodworkingnetwork.com/news/canadian-news/cabico-acquires-elmwood-cabinetry-forming-100-million-canadian-giant,2026-08-30,High
384,"Furniture, mattresses and home furnishings",Kitchen cabinetry,Superior Cabinets,Superior Cabinets kitchen cabinetry,"Semi-custom kitchen, bath and storage cabinetry.","Superior Cabinets states it has multiple manufacturing facilities in Saskatoon, 'proudly Made in Canada since 1980'.","Saskatoon, Saskatchewan",Owned by the Buller family since 2018,None stated on fetched official page,Replaces U.S.-origin wooden kitchen cabinets (heading 94.03).,94.03,"multiple manufacturing facilities in Saskatoon, proudly Made in Canada since 1980",https://superiorcabinets.ca/about/company/,https://superiorcabinets.ca/about/faqs/,2026-08-30,High
385,"Furniture, mattresses and home furnishings",Kitchen cabinetry,Merit Kitchens,Lectus Cabinets semi-custom cabinetry line,Semi-custom kitchen and home cabinetry sold through dealers.,"Merit Kitchens states it continues to manufacture semi-custom cabinetry in Canada, from its Surrey, BC operations.","Surrey, British Columbia",Family-owned and operated by the Siekmann family,None stated on fetched official page,Replaces U.S.-origin wooden kitchen cabinets (heading 94.03).,94.03,"Merit continues to manufacture semi-custom cabinetry in Canada, combining design flexibility, reliable construction, and dealer-supported planning",https://www.merit-kitchens.com/about/,https://www.merit-kitchens.com/,2026-08-30,High
386,"Furniture, mattresses and home furnishings",Custom cabinetry,Cabico,Cabico Unique and Elmwood custom cabinetry,"Fully custom kitchen, bath and millwork cabinetry.","Cabico's owner is quoted by the Canadian Kitchen Cabinet Association saying 'We are a proudly Canadian manufacturer', with plants in Coaticook, Quebec and St. Catharines, Ontario.","Coaticook, Quebec and St. Catharines, Ontario",Privately owned Groupe Cabico Inc.,The explicit Canadian-manufacturer quote appears on the industry association's business story rather than on cabico.com.,Replaces U.S.-origin wooden kitchen cabinets (heading 94.03).,94.03,We are a proudly Canadian manufacturer.,https://ckca.ca/business-story/cabico-co/,https://cabico.com/our-brand/,2026-08-30,Medium
387,"Furniture, mattresses and home furnishings",Custom cabinetry,Miralis,Miralis M.02 collection,Fully custom kitchen cabinetry and millwork.,Miralis states it manufactures locally in Quebec's Lower St-Laurent region and describes itself as the only Quebec-based business that crafts entirely custom-made kitchens.,"Lower St-Laurent region, Quebec (Saint-Anaclet)",Owner and CEO Daniel Drapeau (no parent company stated),None stated on fetched official page,Replaces U.S.-origin wooden kitchen cabinets (heading 94.03).,94.03,"We manufacture locally, near the mighty Saint-Laurent River and its sweeping landscapes, which have nurtured our creativity and respect for the environment for more than 45 years.",https://www.miralis.com/en/about,https://www.miralis.com/en,2026-08-30,High
